objectid,id_punto,nombreestablecimiento,direccion,municipio,barrio,estado,longitud,latitud
393,393,Distribuciones Sym Estrella,CR 62 80 SUR 32,La Estrella,La Estrella,En servicio,-75.6445,6.15813
394,394,Distribuidora Botero,CL 50 52 04,Itagui,Itagui,En servicio,-75.61038865,6.17345474
395,395,Ditaires,CR 61 38 22 ,Itagui,Itagui,En servicio,-75.62703451,6.17286488
396,396,Doña Maria Del Sur,CL 67 48 119,Itagui,Itagui,En servicio,-75.59882121,6.18034433
397,397,Drogueria Farmatienda,CL 9 SUR  79 A 72 LOCAL 109,Medellín,Guayabal,En servicio,-75.6036005,6.20306
398,398,Edison Morales Galvis,CR 67 B 56 B SUR 30,Medellín,Resto San Antonio De Prado,En servicio,-75.64875,6.17337
399,399,El 6,CL 81 48 46 INT 103,Itagui,Itagui,En servicio,-75.59115231,6.1871053
400,400,El Danubio,CL 42 SUR 80 08,Medellín,Resto San Antonio De Prado,En servicio,-75.6563827,6.18457265
401,401,El Encanto,CRA 82 43SUR 19,Medellín,Resto San Antonio De Prado,En servicio,-75.65792479,6.18353883
402,402,El Nueve,CL 83 A 48 46 INT 102 BLOQ 9,Itagui,Itagui,En servicio,-75.59048712,6.18849192
403,403,El Rey,CL 81 SUR 60 67,La Estrella,La Estrella,En servicio,-75.64363645,6.15717088
404,404,El Rey,CL 42 SUR 76 A 32,Medellín,Resto San Antonio De Prado,En servicio,-75.65372034,6.18407474
405,405,Estrella De Mar,CR 55 83B SUR 41,La Estrella,La Estrella,En servicio,-75.636357,6.152287
406,406,Euro Itagui,CR 50 49 16,Itagui,Itagui,En servicio,-75.61009396,6.17165319
407,407,Euro Mayorista,CR 47 63 A 40 BL 25 LOCAL 13,Itagui,Itagui,En servicio,-75.589412,6.187611
408,408,Expresiones,CR 60 77 SUR 72,La Estrella,La Estrella,En servicio,-75.642744,6.159559
409,409,Filetes (Iglesia Guayabo),CR 52 D 68 41,Itagui,Itagui,En servicio,-75.60030564,6.18274022
410,410,Flamingo Itagui,CL 49 50 01,Itagui,Itagui,En servicio,-75.60919407,6.17126705
411,411,Funeraria Muñoz Y Proteccion Exequial,CL 46 48 19,Itagui,Itagui,En servicio,-75.61185,6.16913
412,412,Gana Servicios Ditaires,CL 35 61 12,Itagui,Itagui,En servicio,-75.62827875,6.17048379
413,413,Gana Servicios Estrella,CR 60 79 SUR 126,La Estrella,La Estrella,En servicio,-75.64298734,6.15807667
414,414,Gana Servicios Itagui,CR 50 50 62,Itagui,Itagui,En servicio,-75.6093461,6.17193242
415,415,Gana Servicios Itagui (2),CR 50 50 62         ,Itagui,Itagui,En servicio,-75.6093461,6.17193242
416,416,Gana Servicios Mayorista,CL 84 A 47 70 INT 2,Itagui,Itagui,En servicio,-75.58872759,6.1881506
417,417,Gana Servicios S. Ant De Prado,CL 42 SUR 77 57,Medellín,Resto San Antonio De Prado,En servicio,-75.65460101,6.18421074
418,418,Gana Servicios San Pio,CL 34 50 A 05,Itagui,Itagui,En servicio,-75.62155197,6.16563802
419,419,Gana Servicios Santa Maria,CR 52 83 02,Itagui,Itagui,En servicio,-75.59297304,6.18998472
420,420,Ganaservicios San Gabriel,CL 36 66 B 111,Itagui,Itagui,En servicio,-75.6318,6.171905
421,421,Gildardo 1,CL 51 49 64,Itagui,Itagui,En servicio,-75.60874939,6.17182086
422,422,Glorieta San Jose,DG 40 37 A 11,Itagui,Itagui,En servicio,-75.61499667,6.16691302
423,423,Granero El Prqueadero,CR 56 B 83 SUR 05,La Estrella,La Estrella,En servicio,-75.63933141,6.15386528
424,424,Granero Luigui,CR 50 73 A 03,Itagui,Itagui,En servicio,-75.59622582,6.18332722
425,425,Heladeria Nesdi,CR 69 54 29,Itagui,Itagui,En servicio,-75.601804,6.184452
426,426,Horizontes,CL 42 SUR 72 06,Medellín,Resto San Antonio De Prado,En servicio,-75.65138814,6.18452925
427,427,Induamerica,CL 36 50 A 103,Itagui,Itagui,En servicio,-75.62104614,6.16750919
428,428,Internet Katy,CR 61 A 23 59,Itagui,Itagui,En servicio,-75.64388767,6.16503253
429,429,Itagui Plaza,CR 52 53 11 LOC 124,Itagui,Itagui,En servicio,-75.608,6.174578
430,430,J Y G Parque,CL 81SUR 60 19,La Estrella,La Estrella,En servicio,-75.64340075,6.15708774
431,431,Jahega,CR 52 56 02,Itagui,Itagui,En servicio,-75.60617352,6.17521582
432,432,Jg,CR 50 73 A 10,Itagui,Itagui,En servicio,-75.59610578,6.1832451
433,433,Jyg Parroquia,CL 81 SUR 61 12,La Estrella,La Estrella,En servicio,-75.64402966,6.15746228
434,434,La 27,CL 27 69 06,Itagui,Itagui,En servicio,-75.64097,6.17144
435,435,La 45,CR 47 45 03,Itagui,Itagui,En servicio,-75.6123007,6.16792761
436,436,La 51 B,CR 51 B 3 SUR 50,Medellín,Guayabal,En servicio,-75.585793,6.205743
